index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,city_lower,solar_potential_score,outage_risk_score,facility_score,final_score,rank
5632,the lance krasman memorial centre for community mental health - css,community support service,Ambulatory health care services,Province of Ontario,,10121,yonge street,L4C1T7,richmond hill,on,,Richmond Hill,3519038.0,35,43.87424932,-79.43774412,richmond hill,0.2,0.2958784779548967,0.5,31.34,679
5643,the millwood,retirement home,Nursing and residential care facilities,Province of Ontario,,921,millwood road,M4G1X2,toronto,on,,Toronto,3520005.0,35,43.70293019,-79.36354308,toronto,0.0011684549273454634,0.32624538463658864,0.8,33.09,617
5644,the neighbourhood group community service,community support service,Ambulatory health care services,Province of Ontario,,349,ontario street,M5A2V8,toronto,on,,Toronto,3520005.0,35,43.66055229,-79.36895398,toronto,0.0007522838288911854,0.46963515644908405,0.5,31.31,682
5646,the o'neill centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,33,christie street,M6G3B1,toronto,on,,Toronto,3520005.0,35,43.66476219,-79.4186887,toronto,0.00043548411152703704,0.28258376360188553,0.8,31.32,681
5647,the o'neill centre long term care and retirement living,retirement home,Nursing and residential care facilities,Province of Ontario,,33,christie street,M6G3B1,toronto,on,,Toronto,3520005.0,35,43.66476219,-79.4186887,toronto,0.00043548411152703704,0.3433086299979409,0.8,33.75,590
5648,the ontario caregiver organization,community support service,Ambulatory health care services,Province of Ontario,,22,adelaide street w,M5H4E3,toronto,on,,Toronto,3520005.0,35,43.65054688,-79.37946838,toronto,0.002572613038238676,0.4369046752856994,0.5,30.07,723
5649,the ontario community centre for the deaf (bob rumball centre for the deaf),community support service,Ambulatory health care services,Province of Ontario,,2395,bayview avenue,M2L1A2,toronto,on,,Toronto,3520005.0,35,43.7346352,-79.38037639,toronto,0.0032495986835433723,0.3868234084316192,0.5,28.09,789
5667,the rekai centres at sherbourne place,community support service,Ambulatory health care services,Province of Ontario,,345,sherbourne street,M5A2S3,toronto,on,,Toronto,3520005.0,35,43.66267759,-79.37266528,toronto,0.0007522838288911854,0.3060537337143634,0.5,24.77,870
5668,the rekai centres at wellesley street,community support service,Ambulatory health care services,Province of Ontario,,160,wellesley street e,M4Y1J2,toronto,on,,Toronto,3520005.0,35,43.66687279,-79.37566588,toronto,0.0014893402435249875,0.3077796642594762,0.5,24.86,866
5669,the rekai centres  the rekai centre at sherbourne place,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M5A2S3,toronto,on,,Toronto,,35,43.6548253,-79.388447,toronto,0.0015115066305944143,0.3075709316983504,0.8,32.36,637
5670,the rekai centres  the rekai centre at wellesley central place,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M4Y1J2,toronto,on,,Toronto,,35,43.6548253,-79.388447,toronto,0.0015115066305944143,0.28352012522643466,0.8,31.39,676
5678,the russell hill retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,262,st clair avenue w,M4V1R8,toronto,on,,Toronto,3520005.0,35,43.68553589,-79.40841779,toronto,0.001044241027186679,0.3372427962094332,0.8,33.53,598
5679,the salvation army - meighen retirement residence,community support service,Ambulatory health care services,Province of Ontario,,84,davisville avenue,M4S1G1,toronto,on,,Toronto,3520005.0,35,43.69944179,-79.39315659,toronto,0.000687695970004077,0.4266523097507553,0.5,29.59,732
5684,the salvation army toronto grace health centre,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,650,church st,M4Y2G5,toronto,on,650 church st. toronto on m4y 2g5,Toronto,3520005.0,35,43.670326,-79.3832017,toronto,0.0014893402435249875,0.3194074445481556,0.8,32.83,623
5688,the second mile club of toronto,community support service,Ambulatory health care services,Province of Ontario,,340,college street,M5T3A9,toronto,on,,Toronto,3520005.0,35,43.65757158,-79.40343899,toronto,0.0010077302615016334,0.44196863720176927,0.5,30.21,720
5692,the st. christopher house,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,1499,queen street w,M6R1A3,toronto,on,,Toronto,3520005.0,35,43.63958288,-79.4405301,toronto,0.0005599204257701753,0.3657201133521476,0.8,34.65,553
